"","SP500TR.Open","SP500TR.High","SP500TR.Low","SP500TR.Close","SP500TR.Volume","SP500TR.Adjusted"
"2018-05-07",5236.450195,5263.689941,5227.379883,5242.870117,0,5242.870117
"2018-05-08",5238.27002,5249.919922,5208.799805,5241.529785,0,5241.529785
"2018-05-09",5254.299805,5299.700195,5246.529785,5292.899902,0,5292.899902
"2018-05-10",5308.290039,5349.680176,5307.359863,5343.700195,0,5343.700195
"2018-05-11",5344.850098,5364.779785,5334.72998,5354.689941,0,5354.689941
"2018-05-14",5366.02002,5383.129883,5350.609863,5359.660156,0,5359.660156
"2018-05-15",5337.259766,5337.259766,5304.700195,5323.22998,0,5323.22998
"2018-05-16",5327.009766,5356.700195,5327.009766,5346.330078,0,5346.330078
"2018-05-17",5342.470215,5366.529785,5326.080078,5343.290039,0,5343.290039
"2018-05-18",5338.259766,5342.47998,5322.359863,5329.660156,0,5329.660156
"2018-05-21",5355.319824,5381.259766,5354.850098,5369.189941,0,5369.189941
"2018-05-22",5379.740234,5387.379883,5347.410156,5352.450195,0,5352.450195
"2018-05-23",5332.040039,5369.990234,5323.339844,5369.990234,0,5369.990234
"2018-05-24",5365.569824,5367.410156,5319.290039,5359.319824,0,5359.319824
"2018-05-25",5351.779785,5358.97998,5334.930176,5347.310059,0,5347.310059
"2018-05-29",5315.669922,5326.560059,5260.060059,5285.700195,0,5285.700195
"2018-05-30",5311.359863,5364.209961,5311.359863,5353.759766,0,5353.759766
"2018-05-31",5348.970215,5351.830078,5309.180176,5318.100098,0,5318.100098
"2018-06-01",5344.990234,5380.839844,5344.990234,5376.290039,0,5376.290039
"2018-06-04",5390.279785,5404.919922,5388.189941,5400.5,0,5400.5
"2018-06-05",5403.970215,5412.120117,5386.410156,5404.620117,0,5404.620117
"2018-06-06",5413.540039,5451.089844,5404.189941,5451.089844,0,5451.089844
"2018-06-07",5456.970215,5466.779785,5428.129883,5448.180176,0,5448.180176
"2018-06-08",5439.47998,5465.830078,5435.240234,5465.419922,0,5465.419922
