"","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted"
"2018-04-27",267,267.339996,265.5,266.559998,57053600,252.206604
"2018-04-30",267.26001,267.890015,264.429993,264.51001,82182300,250.266983
"2018-05-01",263.869995,265.100006,262.109985,264.980011,74203400,250.71167
"2018-05-02",264.76001,265.679993,262.76001,263.200012,86368900,249.027512
"2018-05-03",262.26001,263.359985,259.049988,262.619995,136311500,248.478745
"2018-05-04",261.519989,266.790009,261.149994,266.019989,91222100,251.695648
"2018-05-07",266.890015,268.019989,266.109985,266.920013,55304900,252.547226
"2018-05-08",266.5,267.329987,265.149994,266.920013,67499200,252.547226
"2018-05-09",267.679993,269.869995,267.089996,269.5,59666100,254.988251
"2018-05-10",270.339996,272.390015,270.220001,272.019989,72063900,257.372559
"2018-05-11",272.160004,273.149994,271.579987,272.850006,59871500,258.157867
"2018-05-14",273.339996,274.079987,272.359985,272.980011,54790600,258.280914
"2018-05-15",271.589996,271.609985,270.029999,271.100006,87036100,256.502075
"2018-05-16",271.140015,272.76001,271.109985,272.23999,53942600,257.58078
"2018-05-17",271.940002,273.230011,271.130005,272.01001,56536400,257.363129
"2018-05-18",271.619995,272.029999,270.929993,271.329987,64368000,256.719727
"2018-05-21",273.01001,273.980011,272.570007,273.369995,58025900,258.649841
"2018-05-22",273.959991,274.25,272.23999,272.609985,52966400,257.930786
"2018-05-23",271.170013,273.390015,270.98999,273.359985,64694200,258.640411
"2018-05-24",272.910004,273.220001,270.779999,272.799988,76043800,258.110626
"2018-05-25",272.149994,272.859985,271.579987,272.149994,56374800,257.495575
"2018-05-29",270.309998,271.170013,267.76001,269.019989,115908600,254.534119
"2018-05-30",270.5,273.109985,270.420013,272.609985,69678400,257.930786
"2018-05-31",272.149994,272.48999,270.26001,270.940002,93519900,256.350739
"2018-06-01",272.410004,273.940002,272.329987,273.600006,71258400,258.867554
"2018-06-04",274.529999,275.190002,274.26001,274.899994,45385200,260.097504
"2018-06-05",275.049988,275.529999,274.179993,275.100006,51135000,260.286804
"2018-06-06",275.790009,277.519989,275.089996,277.399994,62732200,262.462921
"2018-06-07",277.950012,278.279999,276.339996,277.369995,72969400,262.434509
"2018-06-08",276.850006,278.25,276.660004,278.190002,72139700,263.210358
"2018-06-11",278.440002,279.369995,278.309998,278.559998,58892500,263.560455
"2018-06-12",279.029999,279.329987,278.190002,278.920013,72329000,263.901062
"2018-06-13",279.190002,279.480011,277.799988,278.029999,79070600,263.058929
"2018-06-14",279.01001,279.329987,278.059998,278.730011,77097600,263.721283
"2018-06-15",276.600006,277.51001,275.350006,277.130005,120041600,263.384796
"2018-06-18",275.48999,276.700012,274.950012,276.559998,52917600,262.84314
"2018-06-19",274,275.75,273.529999,275.5,97531500,261.835693
"2018-06-20",276.269989,276.720001,275.589996,275.970001,53785500,262.282379
"2018-06-21",275.959991,275.980011,273.679993,274.23999,71061400,260.638153
"2018-06-22",275.660004,275.790009,274.48999,274.73999,54898500,261.113373
"2018-06-25",273.440002,273.619995,269.100006,271,137854200,257.558838
"2018-06-26",271.640015,272.559998,270.790009,271.600006,68547400,258.12912
"2018-06-27",272.26001,273.869995,269.179993,269.350006,105110700,255.990707
"2018-06-28",269.290009,271.75,268.48999,270.890015,76650500,257.454346
"2018-06-29",272.119995,273.660004,271.149994,271.279999,97592500,257.824951
"2018-07-02",269.51001,272.040009,269.23999,271.859985,63554800,258.376221
"2018-07-03",272.869995,272.980011,270.420013,270.899994,42187100,257.463776
"2018-07-05",272.170013,273.179993,270.959991,273.109985,56925900,259.564209
"2018-07-06",273.140015,275.839996,272.709991,275.420013,66493700,261.759613
"2018-07-09",276.549988,277.959991,276.5,277.899994,50550400,264.116669
"2018-07-10",278.410004,279.01001,278.079987,278.899994,51966800,265.067017
"2018-07-11",277.149994,278.040009,276.519989,276.859985,77054700,263.128204
"2018-07-12",278.279999,279.429993,277.600006,279.369995,60124700,265.513733
"2018-07-13",279.170013,279.929993,278.660004,279.589996,48216000,265.722809
"2018-07-16",279.640015,279.799988,278.839996,279.339996,48201000,265.485229
"2018-07-17",278.470001,280.910004,278.410004,280.470001,52315500,266.559143
"2018-07-18",280.559998,281.179993,280.059998,281.059998,44593500,267.119965
"2018-07-19",280.309998,280.73999,279.459991,280,61412100,266.112488
"2018-07-20",279.769989,280.480011,279.5,279.679993,82337700,265.808319
"2018-07-23",279.450012,280.429993,279.059998,280.200012,47047600,266.302521
"2018-07-24",281.790009,282.559998,280.630005,281.609985,68026900,267.64267
"2018-07-25",281.329987,284.369995,281.279999,284.01001,78882900,269.923615
"2018-07-26",283.200012,284.109985,283.089996,283.339996,57919500,269.286865
"2018-07-27",283.709991,283.820007,280.380005,281.420013,76768700,267.462036
"2018-07-30",281.51001,281.690002,279.359985,279.950012,63742500,266.064972
"2018-07-31",280.809998,282.019989,280.380005,281.329987,68570500,267.376465
"2018-08-01",281.559998,282.130005,280.130005,280.859985,53853300,266.92981
"2018-08-02",279.390015,282.579987,279.160004,282.390015,63426400,268.383972
"2018-08-03",282.529999,283.660004,282.329987,283.600006,53935400,269.533936
"2018-08-06",283.640015,284.98999,283.200012,284.640015,39400900,270.522339
